Unnamed: 0,Text,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
1, Just finished an amazing workout! 💪               ,44941.65625, FitnessFan   , Instagram , #Fitness #Workout                        ,20,40, USA        ,2023,1,15,15
2, Trying out a new recipe for dinner tonight.        ,44941.82986, ChefCook     , Instagram , #Cooking #Food                           ,12,25, Australia ,2023,1,15,19
3, The new movie release is a must-watch!             ,44942.8125, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30, USA    ,2023,1,16,19
4, Just published a new blog post. Check it out!      ,44943.63542, BloggerX     , Instagram , #Blogging #NewPost                      ,22,45,USA,2023,1,17,15
5," New year, new fitness goals! 💪                    ",44944.75, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28,55, USA        ,2023,1,18,18
6, Just adopted a cute furry friend! 🐾              ,44945.71528, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15,30, Canada    ,2023,1,19,17
7, Winter blues got me feeling low.                   ,44946.63542, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8,15, USA       ,2023,1,20,15
8, Productive day ticking off my to-do list.          ,44947.69792, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30,60, USA ,2023,1,21,16
9, Sunday brunch with friends.                        ,44948.5, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15,30, UK ,2023,1,22,12
10, Quiet evening with a good book.                    ,44949.82292, BookLover    , Instagram , #Reading #QuietTime                     ,15,30, Australia ,2023,1,23,19
11, Weekend road trip to explore scenic views.         ,44950.72917, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18,35, UK        ,2023,1,24,17
12, Feeling inspired after attending a workshop.       ,44952.40625, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25,50,USA,2023,1,26,9
13, Attending a live music concert tonight.            ,44953.83333, MusicLover   , Instagram , #Music #ConcertNight                  ,18,35, USA ,2023,1,27,20
14, Excited about the upcoming gaming tournament.      ,44954.375, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30,60,USA,2023,1,28,9
15, Feeling accomplished after a productive day.       ,44955.70833, ProductivityWin, Instagram , #Accomplished #Success               ,22,45, India ,2023,1,29,17
16, New book release from my favorite author!          ,44956.65625, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12,25, UK   ,2023,1,30,15
17, Cooking a special dinner for loved ones.           ,44957.79167, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20,40, USA       ,2023,1,31,19
